Date, Open, High, Low, Close
10/03/23, 0.6363, 0.6369, 0.6285, 0.6302
10/02/23, 0.6433, 0.6446, 0.6361, 0.6362
09/29/23, 0.6429, 0.6502, 0.6421, 0.6433
09/28/23, 0.6362, 0.6433, 0.6344, 0.6426
09/27/23, 0.6398, 0.6410, 0.6331, 0.6352
09/26/23, 0.6421, 0.6431, 0.6387, 0.6397
09/25/23, 0.6442, 0.6449, 0.6403, 0.6425
09/22/23, 0.6417, 0.6466, 0.6403, 0.6444
09/21/23, 0.6447, 0.6455, 0.6386, 0.6414
09/20/23, 0.6456, 0.6513, 0.6439, 0.6448
09/19/23, 0.6436, 0.6475, 0.6427, 0.6454
09/18/23, 0.6430, 0.6453, 0.6417, 0.6438
09/15/23, 0.6439, 0.6474, 0.6424, 0.6435
09/14/23, 0.6420, 0.6460, 0.6417, 0.6441
09/13/23, 0.6427, 0.6435, 0.6381, 0.6424
09/12/23, 0.6454, 0.6454, 0.6408, 0.6425
09/11/23, 0.6383, 0.6451, 0.6378, 0.6433
09/08/23, 0.6376, 0.6416, 0.6367, 0.6379
09/07/23, 0.6381, 0.6397, 0.6361, 0.6375
09/06/23, 0.6378, 0.6405, 0.6357, 0.6382
09/05/23, 0.6461, 0.6466, 0.6357, 0.6380
09/04/23, 0.6462, 0.6482, 0.6444, 0.6462
09/01/23, 0.6482, 0.6521, 0.6438, 0.6453
08/31/23, 0.6477, 0.6509, 0.6461, 0.6483
08/30/23, 0.6479, 0.6523, 0.6449, 0.6476
08/29/23, 0.6428, 0.6489, 0.6401, 0.6480
08/28/23, 0.6404, 0.6440, 0.6401, 0.6431
08/25/23, 0.6419, 0.6442, 0.6380, 0.6403
08/24/23, 0.6482, 0.6489, 0.6412, 0.6417
08/23/23, 0.6423, 0.6483, 0.6410, 0.6480
08/22/23, 0.6413, 0.6459, 0.6402, 0.6422
08/21/23, 0.6407, 0.6422, 0.6387, 0.6414
08/18/23, 0.6404, 0.6430, 0.6379, 0.6404
08/17/23, 0.6433, 0.6451, 0.6365, 0.6405
08/16/23, 0.6460, 0.6482, 0.6415, 0.6423
08/15/23, 0.6486, 0.6520, 0.6451, 0.6454
08/14/23, 0.6500, 0.6509, 0.6453, 0.6487
08/11/23, 0.6514, 0.6535, 0.6485, 0.6497
08/10/23, 0.6527, 0.6616, 0.6513, 0.6516
08/09/23, 0.6545, 0.6572, 0.6518, 0.6529
08/08/23, 0.6572, 0.6578, 0.6496, 0.6544
08/07/23, 0.6585, 0.6595, 0.6554, 0.6575
08/04/23, 0.6552, 0.6611, 0.6543, 0.6570
08/03/23, 0.6540, 0.6569, 0.6514, 0.6551
08/02/23, 0.6614, 0.6631, 0.6528, 0.6539
08/01/23, 0.6721, 0.6724, 0.6601, 0.6613
07/31/23, 0.6649, 0.6740, 0.6647, 0.6717
07/28/23, 0.6708, 0.6715, 0.6622, 0.6648
07/27/23, 0.6758, 0.6822, 0.6697, 0.6710
07/26/23, 0.6789, 0.6795, 0.6730, 0.6759
07/25/23, 0.6737, 0.6795, 0.6725, 0.6792
07/24/23, 0.6735, 0.6757, 0.6714, 0.6741
07/21/23, 0.6779, 0.6789, 0.6721, 0.6734
07/20/23, 0.6772, 0.6847, 0.6764, 0.6778
07/19/23, 0.6810, 0.6821, 0.6750, 0.6771
07/18/23, 0.6815, 0.6838, 0.6788, 0.6812
07/17/23, 0.6840, 0.6854, 0.6788, 0.6817
07/14/23, 0.6889, 0.6896, 0.6829, 0.6836
07/13/23, 0.6786, 0.6896, 0.6784, 0.6887
07/12/23, 0.6683, 0.6797, 0.6681, 0.6787
07/11/23, 0.6673, 0.6696, 0.6649, 0.6686
07/10/23, 0.6685, 0.6697, 0.6622, 0.6674
07/07/23, 0.6626, 0.6703, 0.6618, 0.6690
07/06/23, 0.6655, 0.6690, 0.6598, 0.6625
